y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
4039,0,3,1,7,3,0,14
0,0,3,1,7,4,3,14
0,0,2,2,5,4,3,14
0,0,3,2,5,4,3,14
0,0,1,2,5,4,3,14
5780,0,2,2,8,4,3,14
4,0,3,2,8,4,3,14
0,0,1,2,8,4,3,14
4668,0,2,2,12,4,3,14
1,0,3,2,12,4,3,14
0,0,1,2,12,4,3,14
32,0,2,2,54,4,3,14
153,0,3,2,54,4,3,14
0,0,1,2,54,4,3,14
4602,0,2,2,68,4,3,14
4,0,3,2,68,4,3,14
0,0,1,2,68,4,3,14
5158,0,2,2,70,4,3,14
5745,0,2,2,70,7,5,14
607,0,3,2,70,4,3,14
0,0,1,2,70,4,3,14
526,0,2,3,23,4,3,14
3238,0,3,3,23,4,3,14
2804,0,1,3,23,4,3,14
0,0,2,3,44,4,3,14
6,0,3,3,44,4,3,14
22,0,1,3,44,4,3,14
0,0,2,4,0,1,1,14
0,0,2,4,0,2,0,14
0,0,2,4,0,3,0,14
0,0,2,4,0,4,3,14
0,0,2,4,0,5,0,14
0,0,2,4,0,5,1,14
0,0,2,4,0,5,3,14
0,0,3,4,0,1,1,14
0,0,3,4,0,2,0,14
0,0,3,4,0,3,0,14
0,0,3,4,0,4,3,14
2,0,3,4,0,5,0,14
0,0,3,4,0,5,1,14
3,0,3,4,0,5,3,14
0,0,2,4,1,1,1,14
0,0,2,4,1,2,0,14
0,0,2,4,1,3,0,14
0,0,2,4,1,4,3,14
0,0,2,4,1,5,0,14
0,0,2,4,1,5,1,14
0,0,2,4,1,5,3,14
0,0,3,4,1,1,1,14
0,0,3,4,1,2,0,14
0,0,3,4,1,3,0,14
0,0,3,4,1,4,3,14
0,0,3,4,1,5,0,14
0,0,3,4,1,5,1,14
0,0,3,4,1,5,3,14
0,0,2,4,3,1,1,14
3274,0,2,4,3,2,0,14
0,0,2,4,3,3,0,14
0,0,2,4,3,4,3,14
6,0,2,4,3,5,0,14
0,0,2,4,3,5,1,14
0,0,2,4,3,5,3,14
0,0,3,4,3,1,1,14
3046,0,3,4,3,2,0,14
0,0,3,4,3,3,0,14
0,0,3,4,3,4,3,14
5,0,3,4,3,5,0,14
0,0,3,4,3,5,1,14
0,0,3,4,3,5,3,14
0,0,2,4,14,1,1,14
0,0,2,4,14,2,0,14
0,0,2,4,14,3,0,14
0,0,2,4,14,4,3,14
0,0,2,4,14,5,0,14
0,0,2,4,14,5,1,14
0,0,2,4,14,5,3,14
0,0,3,4,14,1,1,14
1,0,3,4,14,2,0,14
93,0,3,4,14,3,0,14
0,0,3,4,14,4,3,14
98,0,3,4,14,5,0,14
0,0,3,4,14,5,1,14
0,0,3,4,14,5,3,14
0,0,2,4,16,1,1,14
22,0,2,4,16,2,0,14
0,0,2,4,16,3,0,14
3,0,2,4,16,4,3,14
1,0,2,4,16,5,0,14
0,0,2,4,16,5,1,14
6,0,2,4,16,5,3,14
0,0,3,4,16,1,1,14
9,0,3,4,16,2,0,14
0,0,3,4,16,3,0,14
1,0,3,4,16,4,3,14
1,0,3,4,16,5,0,14
0,0,3,4,16,5,1,14
2,0,3,4,16,5,3,14
0,0,2,4,21,1,1,14
0,0,2,4,21,2,0,14
0,0,2,4,21,3,0,14
0,0,2,4,21,4,3,14
0,0,2,4,21,5,0,14
0,0,2,4,21,5,1,14
0,0,2,4,21,5,3,14
0,0,3,4,21,1,1,14
34,0,3,4,21,2,0,14
0,0,3,4,21,3,0,14
2226,0,3,4,21,4,3,14
656,0,3,4,21,5,0,14
0,0,3,4,21,5,1,14
656,0,3,4,21,5,3,14
0,0,2,4,27,1,1,14
0,0,2,4,27,2,0,14
0,0,2,4,27,3,0,14
0,0,2,4,27,4,3,14
0,0,2,4,27,5,0,14
0,0,2,4,27,5,1,14
0,0,2,4,27,5,3,14
0,0,3,4,27,1,1,14
2,0,3,4,27,2,0,14
6,0,3,4,27,3,0,14
90,0,3,4,27,4,3,14
2,0,3,4,27,5,0,14
0,0,3,4,27,5,1,14
18,0,3,4,27,5,3,14
0,0,2,4,39,1,1,14
0,0,2,4,39,2,0,14
0,0,2,4,39,3,0,14
0,0,2,4,39,4,3,14
0,0,2,4,39,5,0,14
0,0,2,4,39,5,1,14
0,0,2,4,39,5,3,14
0,0,3,4,39,1,1,14
7,0,3,4,39,2,0,14
1,0,3,4,39,3,0,14
794,0,3,4,39,4,3,14
0,0,3,4,39,5,0,14
145,0,3,4,39,5,1,14
551,0,3,4,39,5,3,14
0,0,2,4,40,1,1,14
0,0,2,4,40,2,0,14
0,0,2,4,40,3,0,14
0,0,2,4,40,4,3,14
0,0,2,4,40,5,0,14
0,0,2,4,40,5,1,14
0,0,2,4,40,5,3,14
0,0,3,4,40,1,1,14
2,0,3,4,40,2,0,14
0,0,3,4,40,3,0,14
0,0,3,4,40,4,3,14
1,0,3,4,40,5,0,14
0,0,3,4,40,5,1,14
0,0,3,4,40,5,3,14
0,0,2,4,41,1,1,14
0,0,2,4,41,2,0,14
0,0,2,4,41,3,0,14
0,0,2,4,41,4,3,14
0,0,2,4,41,5,0,14
