y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
0,0,C&D,0,0,1,0,2
0,0,C&D,0,0,2,0,2
0,0,C&D,0,0,3,2,2
0,0,C&D,0,0,4,0,2
0,0,C&D,0,0,4,1,2
0,0,C&D,0,0,4,2,2
0,0,C&I core,0,0,1,0,2
0,0,C&I core,0,0,2,0,2
0,0,C&I core,0,0,3,2,2
0,0,C&I core,0,0,4,0,2
0,0,C&I core,0,0,4,1,2
0,0,C&I core,0,0,4,2,2
0,0,Total,0,0,1,0,2
0,0,Total,0,0,2,0,2
0,0,Total,0,0,3,2,2
0,0,Total,0,0,4,0,2
0,0,Total,0,0,4,1,2
0,0,Total,0,0,4,2,2
0,0,C&D,0,1,1,0,2
0,0,C&D,0,1,2,0,2
0,0,C&D,0,1,3,2,2
0,0,C&D,0,1,4,0,2
0,0,C&D,0,1,4,1,2
0,0,C&D,0,1,4,2,2
0,0,C&I core,0,1,1,0,2
0,0,C&I core,0,1,2,0,2
1,0,C&I core,0,1,3,2,2
0,0,C&I core,0,1,4,0,2
0,0,C&I core,0,1,4,1,2
0,0,C&I core,0,1,4,2,2
0,0,Total,0,1,1,0,2
0,0,Total,0,1,2,0,2
1,0,Total,0,1,3,2,2
0,0,Total,0,1,4,0,2
0,0,Total,0,1,4,1,2
0,0,Total,0,1,4,2,2
540,0,C&D,0,2,1,0,2
10,0,C&D,0,2,2,0,2
5,0,C&D,0,2,3,2,2
6,0,C&D,0,2,4,0,2
0,0,C&D,0,2,4,1,2
0,0,C&D,0,2,4,2,2
513,0,C&I core,0,2,1,0,2
9,0,C&I core,0,2,2,0,2
4,0,C&I core,0,2,3,2,2
5,0,C&I core,0,2,4,0,2
0,0,C&I core,0,2,4,1,2
0,0,C&I core,0,2,4,2,2
621,0,Total,0,2,1,0,2
19,0,Total,0,2,2,0,2
9,0,Total,0,2,3,2,2
12,0,Total,0,2,4,0,2
0,0,Total,0,2,4,1,2
0,0,Total,0,2,4,2,2
0,0,C&D,0,3,1,0,2
0,0,C&D,0,3,2,0,2
0,0,C&D,0,3,3,2,2
0,0,C&D,0,3,4,0,2
0,0,C&D,0,3,4,1,2
0,0,C&D,0,3,4,2,2
48,0,C&I core,0,3,1,0,2
91,0,C&I core,0,3,2,0,2
2,0,C&I core,0,3,3,2,2
78,0,C&I core,0,3,4,0,2
0,0,C&I core,0,3,4,1,2
0,0,C&I core,0,3,4,2,2
48,0,Total,0,3,1,0,2
91,0,Total,0,3,2,0,2
2,0,Total,0,3,3,2,2
78,0,Total,0,3,4,0,2
0,0,Total,0,3,4,1,2
0,0,Total,0,3,4,2,2
147,0,C&D,0,4,1,0,2
0,0,C&D,0,4,2,0,2
1,0,C&D,0,4,3,2,2
3,0,C&D,0,4,4,0,2
0,0,C&D,0,4,4,1,2
10,0,C&D,0,4,4,2,2
72,0,C&I core,0,4,1,0,2
0,0,C&I core,0,4,2,0,2
0,0,C&I core,0,4,3,2,2
1,0,C&I core,0,4,4,0,2
0,0,C&I core,0,4,4,1,2
4,0,C&I core,0,4,4,2,2
186,0,Total,0,4,1,0,2
0,0,Total,0,4,2,0,2
2,0,Total,0,4,3,2,2
4,0,Total,0,4,4,0,2
0,0,Total,0,4,4,1,2
14,0,Total,0,4,4,2,2
0,0,C&D,0,5,1,0,2
0,0,C&D,0,5,2,0,2
0,0,C&D,0,5,3,2,2
0,0,C&D,0,5,4,0,2
0,0,C&D,0,5,4,1,2
0,0,C&D,0,5,4,2,2
112,0,C&I core,0,5,1,0,2
59,0,C&I core,0,5,2,0,2
558,0,C&I core,0,5,3,2,2
315,0,C&I core,0,5,4,0,2
0,0,C&I core,0,5,4,1,2
315,0,C&I core,0,5,4,2,2
112,0,Total,0,5,1,0,2
59,0,Total,0,5,2,0,2
558,0,Total,0,5,3,2,2
315,0,Total,0,5,4,0,2
0,0,Total,0,5,4,1,2
315,0,Total,0,5,4,2,2
0,0,C&D,0,6,1,0,2
0,0,C&D,0,6,2,0,2
0,0,C&D,0,6,3,2,2
0,0,C&D,0,6,4,0,2
0,0,C&D,0,6,4,1,2
0,0,C&D,0,6,4,2,2
57,0,C&I core,0,6,1,0,2
0,0,C&I core,0,6,2,0,2
171,0,C&I core,0,6,3,2,2
3,0,C&I core,0,6,4,0,2
0,0,C&I core,0,6,4,1,2
24,0,C&I core,0,6,4,2,2
57,0,Total,0,6,1,0,2
0,0,Total,0,6,2,0,2
171,0,Total,0,6,3,2,2
3,0,Total,0,6,4,0,2
0,0,Total,0,6,4,1,2
24,0,Total,0,6,4,2,2
0,0,C&D,0,7,1,0,2
0,0,C&D,0,7,2,0,2
0,0,C&D,0,7,3,2,2
0,0,C&D,0,7,4,0,2
0,0,C&D,0,7,4,1,2
0,0,C&D,0,7,4,2,2
65,0,C&I core,0,7,1,0,2
7,0,C&I core,0,7,2,0,2
277,0,C&I core,0,7,3,2,2
0,0,C&I core,0,7,4,0,2
130,0,C&I core,0,7,4,1,2
287,0,C&I core,0,7,4,2,2
65,0,Total,0,7,1,0,2
7,0,Total,0,7,2,0,2
277,0,Total,0,7,3,2,2
0,0,Total,0,7,4,0,2
130,0,Total,0,7,4,1,2
287,0,Total,0,7,4,2,2
0,0,C&D,0,8,1,0,2
0,0,C&D,0,8,2,0,2
0,0,C&D,0,8,3,2,2
0,0,C&D,0,8,4,0,2
0,0,C&D,0,8,4,1,2
0,0,C&D,0,8,4,2,2
3,0,C&I core,0,8,1,0,2
0,0,C&I core,0,8,2,0,2
2,0,C&I core,0,8,3,2,2
20,0,C&I core,0,8,4,0,2
1,0,C&I core,0,8,4,1,2
1,0,C&I core,0,8,4,2,2
3,0,Total,0,8,1,0,2
0,0,Total,0,8,2,0,2
2,0,Total,0,8,3,2,2
20,0,Total,0,8,4,0,2
1,0,Total,0,8,4,1,2
1,0,Total,0,8,4,2,2
0,0,C&D,0,9,1,0,2
0,0,C&D,0,9,2,0,2
0,0,C&D,0,9,3,2,2
0,0,C&D,0,9,4,0,2
0,0,C&D,0,9,4,1,2
0,0,C&D,0,9,4,2,2
0,0,C&I core,0,9,1,0,2
0,0,C&I core,0,9,2,0,2
17,0,C&I core,0,9,3,2,2
3,0,C&I core,0,9,4,0,2
0,0,C&I core,0,9,4,1,2
0,0,C&I core,0,9,4,2,2
0,0,Total,0,9,1,0,2
0,0,Total,0,9,2,0,2
17,0,Total,0,9,3,2,2
3,0,Total,0,9,4,0,2
0,0,Total,0,9,4,1,2
0,0,Total,0,9,4,2,2
0,0,C&D,0,10,1,0,2
0,0,C&D,0,10,2,0,2
0,0,C&D,0,10,3,2,2
0,0,C&D,0,10,4,0,2
0,0,C&D,0,10,4,1,2
0,0,C&D,0,10,4,2,2
0,0,C&I core,0,10,1,0,2
0,0,C&I core,0,10,2,0,2
0,0,C&I core,0,10,3,2,2
