y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
1172,0,C&I core,1,7,3,0,1
0,0,C&I core,1,7,4,3,1
1172,0,Total,1,7,3,0,1
0,0,Total,1,7,4,3,1
0,0,C&D,2,5,4,3,1
0,0,C&I core,2,5,4,3,1
0,0,MSW,2,5,4,3,1
0,0,Total,2,5,4,3,1
1649,0,C&D,2,8,4,3,1
4,0,C&I core,2,8,4,3,1
0,0,MSW,2,8,4,3,1
1650,0,Total,2,8,4,3,1
1358,0,C&D,2,12,4,3,1
1,0,C&I core,2,12,4,3,1
0,0,MSW,2,12,4,3,1
1358,0,Total,2,12,4,3,1
32,0,C&D,2,54,4,3,1
123,0,C&I core,2,54,4,3,1
0,0,MSW,2,54,4,3,1
142,0,Total,2,54,4,3,1
1337,0,C&D,2,68,4,3,1
4,0,C&I core,2,68,4,3,1
0,0,MSW,2,68,4,3,1
1338,0,Total,2,68,4,3,1
1485,0,C&D,2,70,4,3,1
1634,0,C&D,2,70,7,5,1
321,0,C&I core,2,70,4,3,1
0,0,MSW,2,70,4,3,1
1490,0,Total,2,70,4,3,1
1634,0,Total,2,70,7,5,1
279,0,C&D,3,23,4,3,1
970,0,C&I core,3,23,4,3,1
874,0,MSW,3,23,4,3,1
1138,0,Total,3,23,4,3,1
0,0,C&D,3,44,4,3,1
6,0,C&I core,3,44,4,3,1
22,0,MSW,3,44,4,3,1
28,0,Total,3,44,4,3,1
0,0,C&D,4,0,1,1,1
0,0,C&D,4,0,2,0,1
0,0,C&D,4,0,3,0,1
0,0,C&D,4,0,4,3,1
0,0,C&D,4,0,5,0,1
0,0,C&D,4,0,5,1,1
0,0,C&D,4,0,5,3,1
0,0,C&I core,4,0,1,1,1
0,0,C&I core,4,0,2,0,1
0,0,C&I core,4,0,3,0,1
0,0,C&I core,4,0,4,3,1
2,0,C&I core,4,0,5,0,1
0,0,C&I core,4,0,5,1,1
3,0,C&I core,4,0,5,3,1
0,0,Total,4,0,1,1,1
0,0,Total,4,0,2,0,1
0,0,Total,4,0,3,0,1
0,0,Total,4,0,4,3,1
2,0,Total,4,0,5,0,1
0,0,Total,4,0,5,1,1
3,0,Total,4,0,5,3,1
0,0,C&D,4,1,1,1,1
0,0,C&D,4,1,2,0,1
0,0,C&D,4,1,3,0,1
0,0,C&D,4,1,4,3,1
0,0,C&D,4,1,5,0,1
0,0,C&D,4,1,5,1,1
0,0,C&D,4,1,5,3,1
0,0,C&I core,4,1,1,1,1
0,0,C&I core,4,1,2,0,1
0,0,C&I core,4,1,3,0,1
0,0,C&I core,4,1,4,3,1
0,0,C&I core,4,1,5,0,1
0,0,C&I core,4,1,5,1,1
0,0,C&I core,4,1,5,3,1
0,0,Total,4,1,1,1,1
0,0,Total,4,1,2,0,1
0,0,Total,4,1,3,0,1
0,0,Total,4,1,4,3,1
0,0,Total,4,1,5,0,1
0,0,Total,4,1,5,1,1
0,0,Total,4,1,5,3,1
0,0,C&D,4,3,1,1,1
977,0,C&D,4,3,2,0,1
0,0,C&D,4,3,3,0,1
0,0,C&D,4,3,4,3,1
6,0,C&D,4,3,5,0,1
0,0,C&D,4,3,5,1,1
0,0,C&D,4,3,5,3,1
0,0,C&I core,4,3,1,1,1
936,0,C&I core,4,3,2,0,1
0,0,C&I core,4,3,3,0,1
0,0,C&I core,4,3,4,3,1
5,0,C&I core,4,3,5,0,1
0,0,C&I core,4,3,5,1,1
0,0,C&I core,4,3,5,3,1
0,0,Total,4,3,1,1,1
1161,0,Total,4,3,2,0,1
0,0,Total,4,3,3,0,1
0,0,Total,4,3,4,3,1
11,0,Total,4,3,5,0,1
0,0,Total,4,3,5,1,1
0,0,Total,4,3,5,3,1
0,0,C&D,4,14,1,1,1
0,0,C&D,4,14,2,0,1
0,0,C&D,4,14,3,0,1
0,0,C&D,4,14,4,3,1
0,0,C&D,4,14,5,0,1
0,0,C&D,4,14,5,1,1
0,0,C&D,4,14,5,3,1
0,0,C&I core,4,14,1,1,1
1,0,C&I core,4,14,2,0,1
84,0,C&I core,4,14,3,0,1
0,0,C&I core,4,14,4,3,1
88,0,C&I core,4,14,5,0,1
0,0,C&I core,4,14,5,1,1
0,0,C&I core,4,14,5,3,1
0,0,Total,4,14,1,1,1
1,0,Total,4,14,2,0,1
84,0,Total,4,14,3,0,1
0,0,Total,4,14,4,3,1
88,0,Total,4,14,5,0,1
0,0,Total,4,14,5,1,1
0,0,Total,4,14,5,3,1
0,0,C&D,4,16,1,1,1
22,0,C&D,4,16,2,0,1
0,0,C&D,4,16,3,0,1
3,0,C&D,4,16,4,3,1
1,0,C&D,4,16,5,0,1
0,0,C&D,4,16,5,1,1
6,0,C&D,4,16,5,3,1
0,0,C&I core,4,16,1,1,1
9,0,C&I core,4,16,2,0,1
0,0,C&I core,4,16,3,0,1
1,0,C&I core,4,16,4,3,1
1,0,C&I core,4,16,5,0,1
0,0,C&I core,4,16,5,1,1
2,0,C&I core,4,16,5,3,1
0,0,Total,4,16,1,1,1
31,0,Total,4,16,2,0,1
0,0,Total,4,16,3,0,1
4,0,Total,4,16,4,3,1
2,0,Total,4,16,5,0,1
0,0,Total,4,16,5,1,1
8,0,Total,4,16,5,3,1
0,0,C&D,4,21,1,1,1
0,0,C&D,4,21,2,0,1
0,0,C&D,4,21,3,0,1
0,0,C&D,4,21,4,3,1
0,0,C&D,4,21,5,0,1
0,0,C&D,4,21,5,1,1
0,0,C&D,4,21,5,3,1
0,0,C&I core,4,21,1,1,1
34,0,C&I core,4,21,2,0,1
0,0,C&I core,4,21,3,0,1
751,0,C&I core,4,21,4,3,1
336,0,C&I core,4,21,5,0,1
0,0,C&I core,4,21,5,1,1
336,0,C&I core,4,21,5,3,1
0,0,Total,4,21,1,1,1
34,0,Total,4,21,2,0,1
0,0,Total,4,21,3,0,1
751,0,Total,4,21,4,3,1
336,0,Total,4,21,5,0,1
0,0,Total,4,21,5,1,1
336,0,Total,4,21,5,3,1
0,0,C&D,4,27,1,1,1
0,0,C&D,4,27,2,0,1
0,0,C&D,4,27,3,0,1
0,0,C&D,4,27,4,3,1
0,0,C&D,4,27,5,0,1
0,0,C&D,4,27,5,1,1
0,0,C&D,4,27,5,3,1
0,0,C&I core,4,27,1,1,1
2,0,C&I core,4,27,2,0,1
6,0,C&I core,4,27,3,0,1
81,0,C&I core,4,27,4,3,1
2,0,C&I core,4,27,5,0,1
0,0,C&I core,4,27,5,1,1
18,0,C&I core,4,27,5,3,1
0,0,Total,4,27,1,1,1
2,0,Total,4,27,2,0,1
6,0,Total,4,27,3,0,1
81,0,Total,4,27,4,3,1
2,0,Total,4,27,5,0,1
0,0,Total,4,27,5,1,1
18,0,Total,4,27,5,3,1
0,0,C&D,4,39,1,1,1
0,0,C&D,4,39,2,0,1
0,0,C&D,4,39,3,0,1
0,0,C&D,4,39,4,3,1
0,0,C&D,4,39,5,0,1
0,0,C&D,4,39,5,1,1
0,0,C&D,4,39,5,3,1
0,0,C&I core,4,39,1,1,1
7,0,C&I core,4,39,2,0,1
1,0,C&I core,4,39,3,0,1
387,0,C&I core,4,39,4,3,1
0,0,C&I core,4,39,5,0,1
118,0,C&I core,4,39,5,1,1
293,0,C&I core,4,39,5,3,1
0,0,Total,4,39,1,1,1
7,0,Total,4,39,2,0,1
1,0,Total,4,39,3,0,1
387,0,Total,4,39,4,3,1
0,0,Total,4,39,5,0,1
118,0,Total,4,39,5,1,1
293,0,Total,4,39,5,3,1
0,0,C&D,4,40,1,1,1
0,0,C&D,4,40,2,0,1
0,0,C&D,4,40,3,0,1
0,0,C&D,4,40,4,3,1
0,0,C&D,4,40,5,0,1
0,0,C&D,4,40,5,1,1
0,0,C&D,4,40,5,3,1
0,0,C&I core,4,40,1,1,1
2,0,C&I core,4,40,2,0,1
0,0,C&I core,4,40,3,0,1
0,0,C&I core,4,40,4,3,1
1,0,C&I core,4,40,5,0,1
0,0,C&I core,4,40,5,1,1
0,0,C&I core,4,40,5,3,1
0,0,Total,4,40,1,1,1
2,0,Total,4,40,2,0,1
0,0,Total,4,40,3,0,1
0,0,Total,4,40,4,3,1
1,0,Total,4,40,5,0,1
0,0,Total,4,40,5,1,1
0,0,Total,4,40,5,3,1
0,0,C&D,4,41,1,1,1
0,0,C&D,4,41,2,0,1
