y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
4601,0,C&I core,1,7,3,0,14
0,0,C&I core,1,7,4,3,14
4601,0,Total,1,7,3,0,14
0,0,Total,1,7,4,3,14
0,0,C&D,2,5,4,3,14
0,0,C&I core,2,5,4,3,14
0,0,MSW,2,5,4,3,14
0,0,Total,2,5,4,3,14
6965,0,C&D,2,8,4,3,14
4,0,C&I core,2,8,4,3,14
0,0,MSW,2,8,4,3,14
6966,0,Total,2,8,4,3,14
5468,0,C&D,2,12,4,3,14
1,0,C&I core,2,12,4,3,14
0,0,MSW,2,12,4,3,14
5468,0,Total,2,12,4,3,14
32,0,C&D,2,54,4,3,14
153,0,C&I core,2,54,4,3,14
0,0,MSW,2,54,4,3,14
186,0,Total,2,54,4,3,14
5375,0,C&D,2,68,4,3,14
4,0,C&I core,2,68,4,3,14
0,0,MSW,2,68,4,3,14
5376,0,Total,2,68,4,3,14
6105,0,C&D,2,70,4,3,14
6919,0,C&D,2,70,7,5,14
617,0,C&I core,2,70,4,3,14
0,0,MSW,2,70,4,3,14
6121,0,Total,2,70,4,3,14
6919,0,Total,2,70,7,5,14
531,0,C&D,3,23,4,3,14
3590,0,C&I core,3,23,4,3,14
3106,0,MSW,3,23,4,3,14
4444,0,Total,3,23,4,3,14
0,0,C&D,3,44,4,3,14
6,0,C&I core,3,44,4,3,14
22,0,MSW,3,44,4,3,14
28,0,Total,3,44,4,3,14
0,0,C&D,4,0,1,1,14
0,0,C&D,4,0,2,0,14
0,0,C&D,4,0,3,0,14
0,0,C&D,4,0,4,3,14
0,0,C&D,4,0,5,0,14
0,0,C&D,4,0,5,1,14
0,0,C&D,4,0,5,3,14
0,0,C&I core,4,0,1,1,14
0,0,C&I core,4,0,2,0,14
0,0,C&I core,4,0,3,0,14
0,0,C&I core,4,0,4,3,14
2,0,C&I core,4,0,5,0,14
0,0,C&I core,4,0,5,1,14
3,0,C&I core,4,0,5,3,14
0,0,Total,4,0,1,1,14
0,0,Total,4,0,2,0,14
0,0,Total,4,0,3,0,14
0,0,Total,4,0,4,3,14
2,0,Total,4,0,5,0,14
0,0,Total,4,0,5,1,14
3,0,Total,4,0,5,3,14
0,0,C&D,4,1,1,1,14
0,0,C&D,4,1,2,0,14
0,0,C&D,4,1,3,0,14
0,0,C&D,4,1,4,3,14
0,0,C&D,4,1,5,0,14
0,0,C&D,4,1,5,1,14
0,0,C&D,4,1,5,3,14
0,0,C&I core,4,1,1,1,14
0,0,C&I core,4,1,2,0,14
0,0,C&I core,4,1,3,0,14
0,0,C&I core,4,1,4,3,14
0,0,C&I core,4,1,5,0,14
0,0,C&I core,4,1,5,1,14
0,0,C&I core,4,1,5,3,14
0,0,Total,4,1,1,1,14
0,0,Total,4,1,2,0,14
0,0,Total,4,1,3,0,14
0,0,Total,4,1,4,3,14
0,0,Total,4,1,5,0,14
0,0,Total,4,1,5,1,14
0,0,Total,4,1,5,3,14
0,0,C&D,4,3,1,1,14
3633,0,C&D,4,3,2,0,14
0,0,C&D,4,3,3,0,14
0,0,C&D,4,3,4,3,14
6,0,C&D,4,3,5,0,14
0,0,C&D,4,3,5,1,14
0,0,C&D,4,3,5,3,14
0,0,C&I core,4,3,1,1,14
