Jurisdiction,Category,Type,Management,Fate,y,Sub_stream_name,Year
0,1,6,2,0,20186,2,2021
0,1,6,2,0,20186,4,2021
0,2,37,4,3,133987,0,2021
0,2,37,4,3,133987,4,2021
0,3,0,0,1,0,0,2021
0,3,0,1,0,0,0,2021
0,3,0,2,0,0,0,2021
0,3,0,3,0,0,0,2021
0,3,0,3,1,0,0,2021
0,3,0,0,1,0,2,2021
0,3,0,1,0,0,2,2021
0,3,0,2,0,0,2,2021
0,3,0,3,0,2,2,2021
0,3,0,3,1,0,2,2021
0,3,0,0,1,0,4,2021
0,3,0,1,0,0,4,2021
0,3,0,2,0,0,4,2021
0,3,0,3,0,2,4,2021
0,3,0,3,1,0,4,2021
0,3,1,0,1,0,0,2021
0,3,1,1,0,0,0,2021
0,3,1,2,0,0,0,2021
0,3,1,3,0,0,0,2021
0,3,1,3,1,0,0,2021
0,3,1,0,1,0,2,2021
0,3,1,1,0,0,2,2021
0,3,1,2,0,0,2,2021
0,3,1,3,0,0,2,2021
0,3,1,3,1,0,2,2021
0,3,1,0,1,0,4,2021
0,3,1,1,0,0,4,2021
0,3,1,2,0,0,4,2021
0,3,1,3,0,0,4,2021
0,3,1,3,1,0,4,2021
0,3,3,0,1,0,0,2021
0,3,3,1,0,10556,0,2021
0,3,3,2,0,0,0,2021
0,3,3,3,0,6,0,2021
0,3,3,3,1,0,0,2021
0,3,3,0,1,0,2,2021
0,3,3,1,0,8992,2,2021
0,3,3,2,0,0,2,2021
0,3,3,3,0,5,2,2021
0,3,3,3,1,0,2,2021
0,3,3,0,1,0,4,2021
0,3,3,1,0,19548,4,2021
0,3,3,2,0,0,4,2021
0,3,3,3,0,11,4,2021
0,3,3,3,1,0,4,2021
0,3,8,0,1,0,0,2021
0,3,8,1,0,0,0,2021
0,3,8,2,0,0,0,2021
0,3,8,3,0,0,0,2021
0,3,8,3,1,0,0,2021
0,3,8,0,1,0,2,2021
0,3,8,1,0,1,2,2021
0,3,8,2,0,93,2,2021
0,3,8,3,0,98,2,2021
0,3,8,3,1,0,2,2021
0,3,8,0,1,0,4,2021
0,3,8,1,0,1,4,2021
0,3,8,2,0,93,4,2021
0,3,8,3,0,98,4,2021
0,3,8,3,1,0,4,2021
0,3,9,0,1,0,0,2021
0,3,9,1,0,22,0,2021
0,3,9,2,0,0,0,2021
0,3,9,3,0,1,0,2021
0,3,9,3,1,0,0,2021
0,3,9,0,1,0,2,2021
0,3,9,1,0,9,2,2021
