y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
68,0,C&I (mineral processing),0,2,3,0,1
68,0,Total,0,2,3,0,1
82,0,C&I (mineral processing),0,22,3,2,1
82,0,Total,0,22,3,2,1
5,0,C&I (mining),1,0,2,0,1
0,0,C&I (mining),1,0,3,0,1
0,0,C&I (mining),1,0,4,3,1
0,0,C&I (mining),1,0,5,4,1
5,0,Total,1,0,2,0,1
0,0,Total,1,0,3,0,1
0,0,Total,1,0,4,3,1
0,0,Total,1,0,5,4,1
29,0,C&I (mining),1,3,2,0,1
80,0,C&I (mining),1,3,3,0,1
14,0,C&I (mining),1,3,4,3,1
19,0,C&I (mining),1,3,5,4,1
29,0,Total,1,3,2,0,1
80,0,Total,1,3,3,0,1
14,0,Total,1,3,4,3,1
19,0,Total,1,3,5,4,1
11,0,C&I (mining),1,4,2,0,1
87,0,C&I (mining),1,4,3,0,1
0,0,C&I (mining),1,4,4,3,1
0,0,C&I (mining),1,4,5,4,1
11,0,Total,1,4,2,0,1
87,0,Total,1,4,3,0,1
0,0,Total,1,4,4,3,1
0,0,Total,1,4,5,4,1
18,0,C&I (mining),1,7,2,0,1
92,0,C&I (mining),1,7,3,0,1
3,0,C&I (mining),1,7,4,3,1
1,0,C&I (mining),1,7,5,4,1
18,0,Total,1,7,2,0,1
92,0,Total,1,7,3,0,1
3,0,Total,1,7,4,3,1
1,0,Total,1,7,5,4,1
24,0,C&I (mining),1,9,2,0,1
90,0,C&I (mining),1,9,3,0,1
0,0,C&I (mining),1,9,4,3,1
3,0,C&I (mining),1,9,5,4,1
24,0,Total,1,9,2,0,1
90,0,Total,1,9,3,0,1
0,0,Total,1,9,4,3,1
3,0,Total,1,9,5,4,1
5,0,C&I (mining),1,11,2,0,1
73,0,C&I (mining),1,11,3,0,1
0,0,C&I (mining),1,11,4,3,1
38,0,C&I (mining),1,11,5,4,1
5,0,Total,1,11,2,0,1
73,0,Total,1,11,3,0,1
0,0,Total,1,11,4,3,1
38,0,Total,1,11,5,4,1
15,0,C&I (mining),1,12,2,0,1
83,0,C&I (mining),1,12,3,0,1
0,0,C&I (mining),1,12,4,3,1
28,0,C&I (mining),1,12,5,4,1
15,0,Total,1,12,2,0,1
83,0,Total,1,12,3,0,1
0,0,Total,1,12,4,3,1
28,0,Total,1,12,5,4,1
12,0,C&I (mining),1,13,2,0,1
70,0,C&I (mining),1,13,3,0,1
35,0,C&I (mining),1,13,4,3,1
16,0,C&I (mining),1,13,5,4,1
12,0,Total,1,13,2,0,1
70,0,Total,1,13,3,0,1
35,0,Total,1,13,4,3,1
16,0,Total,1,13,5,4,1
0,0,C&I (mining),1,14,2,0,1
0,0,C&I (mining),1,14,3,0,1
0,0,C&I (mining),1,14,4,3,1
0,0,C&I (mining),1,14,5,4,1
0,0,Total,1,14,2,0,1
0,0,Total,1,14,3,0,1
