y,Jurisdiction_encoded,Sub-stream,Total type,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
1139,0,3,Biosolids total,1,1,3,0,14
0,0,3,Biosolids total,1,1,4,3,14
1139,0,9,Biosolids total,1,1,3,0,14
0,0,9,Biosolids total,1,1,4,3,14
0,0,2,Hazwaste total,2,1,1,1,14
837,0,2,Hazwaste total,2,1,2,0,14
0,0,2,Hazwaste total,2,1,3,0,14
3,0,2,Hazwaste total,2,1,4,3,14
7,0,2,Hazwaste total,2,1,5,0,14
0,0,2,Hazwaste total,2,1,5,1,14
6,0,2,Hazwaste total,2,1,5,3,14
485,0,3,Hazwaste total,2,1,1,1,14
845,0,3,Hazwaste total,2,1,2,0,14
120,0,3,Hazwaste total,2,1,3,0,14
726,0,3,Hazwaste total,2,1,4,3,14
272,0,3,Hazwaste total,2,1,5,0,14
93,0,3,Hazwaste total,2,1,5,1,14
354,0,3,Hazwaste total,2,1,5,3,14
485,0,9,Hazwaste total,2,1,1,1,14
1175,0,9,Hazwaste total,2,1,2,0,14
120,0,9,Hazwaste total,2,1,3,0,14
727,0,9,Hazwaste total,2,1,4,3,14
274,0,9,Hazwaste total,2,1,5,0,14
93,0,9,Hazwaste total,2,1,5,1,14
357,0,9,Hazwaste total,2,1,5,3,14
0,0,8,Mining waste total,4,1,2,0,14
0,0,8,Mining waste total,4,1,3,0,14
0,0,8,Mining waste total,4,1,4,3,14
0,0,8,Mining waste total,4,1,6,4,14
0,0,9,Mining waste total,4,1,2,0,14
0,0,9,Mining waste total,4,1,3,0,14
0,0,9,Mining waste total,4,1,4,3,14
0,0,9,Mining waste total,4,1,6,4,14
0,0,2,All other waste total,7,1,1,1,14
1913,0,2,All other waste total,7,1,2,0,14
380,0,2,All other waste total,7,1,2,1,14
2262,0,2,All other waste total,7,1,4,3,14
1967,0,2,All other waste total,7,1,7,5,14
0,0,3,All other waste total,7,1,1,1,14
1691,0,3,All other waste total,7,1,2,0,14
1094,0,3,All other waste total,7,1,2,1,14
1662,0,3,All other waste total,7,1,4,3,14
785,0,3,All other waste total,7,1,7,5,14
0,0,1,All other waste total,7,1,1,1,14
1742,0,1,All other waste total,7,1,2,0,14
1318,0,1,All other waste total,7,1,2,1,14
2057,0,1,All other waste total,7,1,4,3,14
730,0,1,All other waste total,7,1,7,5,14
0,0,9,All other waste total,7,1,1,1,14
2278,0,9,All other waste total,7,1,2,0,14
1479,0,9,All other waste total,7,1,2,1,14
2544,0,9,All other waste total,7,1,4,3,14
2009,0,9,All other waste total,7,1,7,5,14
2976,1,7,Mineral processing waste total,3,1,3,0,14
3150,1,7,Mineral processing waste total,3,1,3,2,14
2976,1,9,Mineral processing waste total,3,1,3,0,14
3150,1,9,Mineral processing waste total,3,1,3,2,14
497,1,8,Mining waste total,4,1,2,0,14
3162,1,8,Mining waste total,4,1,3,0,14
564,1,8,Mining waste total,4,1,4,3,14
789,1,8,Mining waste total,4,1,6,4,14
497,1,9,Mining waste total,4,1,2,0,14
3162,1,9,Mining waste total,4,1,3,0,14
564,1,9,Mining waste total,4,1,4,3,14
789,1,9,Mining waste total,4,1,6,4,14
2934,1,5,Organic primary production waste total,5,1,4,3,14
2456,1,5,Organic primary production waste total,5,1,6,4,14
3124,1,5,Organic primary production waste total,5,1,7,5,14
2934,1,9,Organic primary production waste total,5,1,4,3,14
2456,1,9,Organic primary production waste total,5,1,6,4,14
3124,1,9,Organic primary production waste total,5,1,7,5,14
1045,1,6,Organic processing waste total,6,1,0,3,14
1272,1,6,Organic processing waste total,6,1,1,1,14
1675,1,6,Organic processing waste total,6,1,2,0,14
2448,1,6,Organic processing waste total,6,1,3,0,14
3053,1,6,Organic processing waste total,6,1,4,3,14
3148,1,6,Organic processing waste total,6,1,6,4,14
3116,1,6,Organic processing waste total,6,1,7,5,14
1045,1,9,Organic processing waste total,6,1,0,3,14
1272,1,9,Organic processing waste total,6,1,1,1,14
1675,1,9,Organic processing waste total,6,1,2,0,14
2448,1,9,Organic processing waste total,6,1,3,0,14
3053,1,9,Organic processing waste total,6,1,4,3,14
3148,1,9,Organic processing waste total,6,1,6,4,14
3116,1,9,Organic processing waste total,6,1,7,5,14
2817,2,4,Ash waste total,0,1,3,2,14
2933,2,4,Ash waste total,0,1,4,3,14
2982,2,4,Ash waste total,0,1,7,5,14
2817,2,9,Ash waste total,0,1,3,2,14
2933,2,9,Ash waste total,0,1,4,3,14
2982,2,9,Ash waste total,0,1,7,5,14
0,2,3,Biosolids total,1,1,3,0,14
2410,2,3,Biosolids total,1,1,4,3,14
0,2,9,Biosolids total,1,1,3,0,14
2410,2,9,Biosolids total,1,1,4,3,14
0,2,2,Hazwaste total,2,1,1,1,14
2708,2,2,Hazwaste total,2,1,2,0,14
0,2,2,Hazwaste total,2,1,3,0,14
0,2,2,Hazwaste total,2,1,4,3,14
0,2,2,Hazwaste total,2,1,5,0,14
0,2,2,Hazwaste total,2,1,5,1,14
0,2,2,Hazwaste total,2,1,5,3,14
1460,2,3,Hazwaste total,2,1,1,1,14
2619,2,3,Hazwaste total,2,1,2,0,14
711,2,3,Hazwaste total,2,1,3,0,14
2283,2,3,Hazwaste total,2,1,4,3,14
1548,2,3,Hazwaste total,2,1,5,0,14
1165,2,3,Hazwaste total,2,1,5,1,14
2039,2,3,Hazwaste total,2,1,5,3,14
1460,2,9,Hazwaste total,2,1,1,1,14
2877,2,9,Hazwaste total,2,1,2,0,14
711,2,9,Hazwaste total,2,1,3,0,14
2283,2,9,Hazwaste total,2,1,4,3,14
1548,2,9,Hazwaste total,2,1,5,0,14
1165,2,9,Hazwaste total,2,1,5,1,14
2039,2,9,Hazwaste total,2,1,5,3,14
80,2,8,Mining waste total,4,1,2,0,14
3157,2,8,Mining waste total,4,1,3,0,14
5,2,8,Mining waste total,4,1,4,3,14
130,2,8,Mining waste total,4,1,6,4,14
80,2,9,Mining waste total,4,1,2,0,14
3157,2,9,Mining waste total,4,1,3,0,14
5,2,9,Mining waste total,4,1,4,3,14
130,2,9,Mining waste total,4,1,6,4,14
0,2,2,All other waste total,7,1,1,1,14
2860,2,2,All other waste total,7,1,2,0,14
847,2,2,All other waste total,7,1,2,1,14
3125,2,2,All other waste total,7,1,4,3,14
0,2,3,All other waste total,7,1,1,1,14
2917,2,3,All other waste total,7,1,2,0,14
2042,2,3,All other waste total,7,1,2,1,14
2929,2,3,All other waste total,7,1,4,3,14
0,2,1,All other waste total,7,1,1,1,14
2977,2,1,All other waste total,7,1,2,0,14
