y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
4601,0,3,1,7,3,0,14
0,0,3,1,7,4,3,14
4601,0,9,1,7,3,0,14
0,0,9,1,7,4,3,14
0,0,2,2,5,4,3,14
0,0,3,2,5,4,3,14
0,0,1,2,5,4,3,14
0,0,9,2,5,4,3,14
6965,0,2,2,8,4,3,14
4,0,3,2,8,4,3,14
0,0,1,2,8,4,3,14
6966,0,9,2,8,4,3,14
5468,0,2,2,12,4,3,14
1,0,3,2,12,4,3,14
0,0,1,2,12,4,3,14
5468,0,9,2,12,4,3,14
32,0,2,2,54,4,3,14
153,0,3,2,54,4,3,14
0,0,1,2,54,4,3,14
186,0,9,2,54,4,3,14
5375,0,2,2,68,4,3,14
4,0,3,2,68,4,3,14
0,0,1,2,68,4,3,14
5376,0,9,2,68,4,3,14
6105,0,2,2,70,4,3,14
6919,0,2,2,70,7,5,14
617,0,3,2,70,4,3,14
0,0,1,2,70,4,3,14
6121,0,9,2,70,4,3,14
6919,0,9,2,70,7,5,14
531,0,2,3,23,4,3,14
3590,0,3,3,23,4,3,14
3106,0,1,3,23,4,3,14
4444,0,9,3,23,4,3,14
0,0,2,3,44,4,3,14
6,0,3,3,44,4,3,14
22,0,1,3,44,4,3,14
28,0,9,3,44,4,3,14
0,0,2,4,0,1,1,14
0,0,2,4,0,2,0,14
0,0,2,4,0,3,0,14
0,0,2,4,0,4,3,14
0,0,2,4,0,5,0,14
0,0,2,4,0,5,1,14
0,0,2,4,0,5,3,14
0,0,3,4,0,1,1,14
0,0,3,4,0,2,0,14
0,0,3,4,0,3,0,14
0,0,3,4,0,4,3,14
2,0,3,4,0,5,0,14
0,0,3,4,0,5,1,14
3,0,3,4,0,5,3,14
0,0,9,4,0,1,1,14
0,0,9,4,0,2,0,14
0,0,9,4,0,3,0,14
0,0,9,4,0,4,3,14
2,0,9,4,0,5,0,14
0,0,9,4,0,5,1,14
3,0,9,4,0,5,3,14
0,0,2,4,1,1,1,14
0,0,2,4,1,2,0,14
0,0,2,4,1,3,0,14
0,0,2,4,1,4,3,14
0,0,2,4,1,5,0,14
0,0,2,4,1,5,1,14
0,0,2,4,1,5,3,14
0,0,3,4,1,1,1,14
0,0,3,4,1,2,0,14
0,0,3,4,1,3,0,14
0,0,3,4,1,4,3,14
0,0,3,4,1,5,0,14
0,0,3,4,1,5,1,14
0,0,3,4,1,5,3,14
0,0,9,4,1,1,1,14
0,0,9,4,1,2,0,14
0,0,9,4,1,3,0,14
0,0,9,4,1,4,3,14
0,0,9,4,1,5,0,14
0,0,9,4,1,5,1,14
0,0,9,4,1,5,3,14
0,0,2,4,3,1,1,14
3633,0,2,4,3,2,0,14
0,0,2,4,3,3,0,14
0,0,2,4,3,4,3,14
6,0,2,4,3,5,0,14
0,0,2,4,3,5,1,14
0,0,2,4,3,5,3,14
0,0,3,4,3,1,1,14
3379,0,3,4,3,2,0,14
0,0,3,4,3,3,0,14
0,0,3,4,3,4,3,14
5,0,3,4,3,5,0,14
0,0,3,4,3,5,1,14
0,0,3,4,3,5,3,14
0,0,9,4,3,1,1,14
4555,0,9,4,3,2,0,14
0,0,9,4,3,3,0,14
0,0,9,4,3,4,3,14
11,0,9,4,3,5,0,14
0,0,9,4,3,5,1,14
0,0,9,4,3,5,3,14
0,0,2,4,14,1,1,14
0,0,2,4,14,2,0,14
0,0,2,4,14,3,0,14
0,0,2,4,14,4,3,14
0,0,2,4,14,5,0,14
0,0,2,4,14,5,1,14
0,0,2,4,14,5,3,14
0,0,3,4,14,1,1,14
1,0,3,4,14,2,0,14
93,0,3,4,14,3,0,14
0,0,3,4,14,4,3,14
98,0,3,4,14,5,0,14
0,0,3,4,14,5,1,14
0,0,3,4,14,5,3,14
0,0,9,4,14,1,1,14
1,0,9,4,14,2,0,14
93,0,9,4,14,3,0,14
0,0,9,4,14,4,3,14
98,0,9,4,14,5,0,14
0,0,9,4,14,5,1,14
0,0,9,4,14,5,3,14
0,0,2,4,16,1,1,14
22,0,2,4,16,2,0,14
0,0,2,4,16,3,0,14
3,0,2,4,16,4,3,14
1,0,2,4,16,5,0,14
0,0,2,4,16,5,1,14
6,0,2,4,16,5,3,14
0,0,3,4,16,1,1,14
9,0,3,4,16,2,0,14
0,0,3,4,16,3,0,14
1,0,3,4,16,4,3,14
1,0,3,4,16,5,0,14
0,0,3,4,16,5,1,14
2,0,3,4,16,5,3,14
0,0,9,4,16,1,1,14
31,0,9,4,16,2,0,14
0,0,9,4,16,3,0,14
4,0,9,4,16,4,3,14
2,0,9,4,16,5,0,14
0,0,9,4,16,5,1,14
8,0,9,4,16,5,3,14
0,0,2,4,21,1,1,14
0,0,2,4,21,2,0,14
0,0,2,4,21,3,0,14
0,0,2,4,21,4,3,14
0,0,2,4,21,5,0,14
0,0,2,4,21,5,1,14
0,0,2,4,21,5,3,14
0,0,3,4,21,1,1,14
34,0,3,4,21,2,0,14
0,0,3,4,21,3,0,14
2424,0,3,4,21,4,3,14
669,0,3,4,21,5,0,14
0,0,3,4,21,5,1,14
669,0,3,4,21,5,3,14
0,0,9,4,21,1,1,14
34,0,9,4,21,2,0,14
0,0,9,4,21,3,0,14
2424,0,9,4,21,4,3,14
669,0,9,4,21,5,0,14
0,0,9,4,21,5,1,14
669,0,9,4,21,5,3,14
0,0,2,4,27,1,1,14
0,0,2,4,27,2,0,14
0,0,2,4,27,3,0,14
0,0,2,4,27,4,3,14
0,0,2,4,27,5,0,14
0,0,2,4,27,5,1,14
0,0,2,4,27,5,3,14
0,0,3,4,27,1,1,14
2,0,3,4,27,2,0,14
6,0,3,4,27,3,0,14
90,0,3,4,27,4,3,14
2,0,3,4,27,5,0,14
0,0,3,4,27,5,1,14
18,0,3,4,27,5,3,14
0,0,9,4,27,1,1,14
2,0,9,4,27,2,0,14
6,0,9,4,27,3,0,14
90,0,9,4,27,4,3,14
2,0,9,4,27,5,0,14
0,0,9,4,27,5,1,14
18,0,9,4,27,5,3,14
0,0,2,4,39,1,1,14
0,0,2,4,39,2,0,14
0,0,2,4,39,3,0,14
0,0,2,4,39,4,3,14
0,0,2,4,39,5,0,14
0,0,2,4,39,5,1,14
0,0,2,4,39,5,3,14
0,0,3,4,39,1,1,14
7,0,3,4,39,2,0,14
1,0,3,4,39,3,0,14
813,0,3,4,39,4,3,14
0,0,3,4,39,5,0,14
145,0,3,4,39,5,1,14
557,0,3,4,39,5,3,14
0,0,9,4,39,1,1,14
7,0,9,4,39,2,0,14
1,0,9,4,39,3,0,14
813,0,9,4,39,4,3,14
0,0,9,4,39,5,0,14
145,0,9,4,39,5,1,14
557,0,9,4,39,5,3,14
0,0,2,4,40,1,1,14
0,0,2,4,40,2,0,14
0,0,2,4,40,3,0,14
0,0,2,4,40,4,3,14
0,0,2,4,40,5,0,14
0,0,2,4,40,5,1,14
0,0,2,4,40,5,3,14
0,0,3,4,40,1,1,14
2,0,3,4,40,2,0,14
0,0,3,4,40,3,0,14
0,0,3,4,40,4,3,14
1,0,3,4,40,5,0,14
0,0,3,4,40,5,1,14
0,0,3,4,40,5,3,14
0,0,9,4,40,1,1,14
2,0,9,4,40,2,0,14
0,0,9,4,40,3,0,14
0,0,9,4,40,4,3,14
1,0,9,4,40,5,0,14
0,0,9,4,40,5,1,14
0,0,9,4,40,5,3,14
0,0,2,4,41,1,1,14
0,0,2,4,41,2,0,14
0,0,2,4,41,3,0,14
0,0,2,4,41,4,3,14
0,0,2,4,41,5,0,14
0,0,2,4,41,5,1,14
0,0,2,4,41,5,3,14
0,0,3,4,41,1,1,14
0,0,3,4,41,2,0,14
0,0,3,4,41,3,0,14
4,0,3,4,41,4,3,14
4,0,3,4,41,5,0,14
0,0,3,4,41,5,1,14
0,0,3,4,41,5,3,14
0,0,9,4,41,1,1,14
0,0,9,4,41,2,0,14
0,0,9,4,41,3,0,14
4,0,9,4,41,4,3,14
4,0,9,4,41,5,0,14
0,0,9,4,41,5,1,14
0,0,9,4,41,5,3,14
0,0,2,4,42,1,1,14
0,0,2,4,42,2,0,14
0,0,2,4,42,3,0,14
0,0,2,4,42,4,3,14
0,0,2,4,42,5,0,14
0,0,2,4,42,5,1,14
0,0,2,4,42,5,3,14
0,0,3,4,42,1,1,14
0,0,3,4,42,2,0,14
0,0,3,4,42,3,0,14
0,0,3,4,42,4,3,14
0,0,3,4,42,5,0,14
0,0,3,4,42,5,1,14
0,0,3,4,42,5,3,14
0,0,9,4,42,1,1,14
0,0,9,4,42,2,0,14
0,0,9,4,42,3,0,14
0,0,9,4,42,4,3,14
0,0,9,4,42,5,0,14
0,0,9,4,42,5,1,14
0,0,9,4,42,5,3,14
0,0,2,4,45,1,1,14
0,0,2,4,45,2,0,14
0,0,2,4,45,3,0,14
0,0,2,4,45,4,3,14
0,0,2,4,45,5,0,14
0,0,2,4,45,5,1,14
0,0,2,4,45,5,3,14
0,0,3,4,45,1,1,14
0,0,3,4,45,2,0,14
0,0,3,4,45,3,0,14
0,0,3,4,45,4,3,14
0,0,3,4,45,5,0,14
0,0,3,4,45,5,1,14
0,0,3,4,45,5,3,14
0,0,9,4,45,1,1,14
0,0,9,4,45,2,0,14
0,0,9,4,45,3,0,14
0,0,9,4,45,4,3,14
0,0,9,4,45,5,0,14
0,0,9,4,45,5,1,14
0,0,9,4,45,5,3,14
0,0,2,4,47,1,1,14
0,0,2,4,47,2,0,14
0,0,2,4,47,3,0,14
0,0,2,4,47,4,3,14
0,0,2,4,47,5,0,14
0,0,2,4,47,5,1,14
0,0,2,4,47,5,3,14
0,0,3,4,47,1,1,14
0,0,3,4,47,2,0,14
0,0,3,4,47,3,0,14
33,0,3,4,47,4,3,14
34,0,3,4,47,5,0,14
0,0,3,4,47,5,1,14
0,0,3,4,47,5,3,14
0,0,9,4,47,1,1,14
0,0,9,4,47,2,0,14
0,0,9,4,47,3,0,14
33,0,9,4,47,4,3,14
34,0,9,4,47,5,0,14
0,0,9,4,47,5,1,14
0,0,9,4,47,5,3,14
0,0,2,4,51,1,1,14
0,0,2,4,51,2,0,14
0,0,2,4,51,3,0,14
0,0,2,4,51,4,3,14
0,0,2,4,51,5,0,14
0,0,2,4,51,5,1,14
0,0,2,4,51,5,3,14
0,0,3,4,51,1,1,14
51,0,3,4,51,2,0,14
0,0,3,4,51,3,0,14
15,0,3,4,51,4,3,14
23,0,3,4,51,5,0,14
0,0,3,4,51,5,1,14
10,0,3,4,51,5,3,14
0,0,9,4,51,1,1,14
51,0,9,4,51,2,0,14
0,0,9,4,51,3,0,14
15,0,9,4,51,4,3,14
23,0,9,4,51,5,0,14
0,0,9,4,51,5,1,14
10,0,9,4,51,5,3,14
0,0,2,4,52,1,1,14
0,0,2,4,52,2,0,14
0,0,2,4,52,3,0,14
0,0,2,4,52,4,3,14
0,0,2,4,52,5,0,14
0,0,2,4,52,5,1,14
0,0,2,4,52,5,3,14
0,0,3,4,52,1,1,14
187,0,3,4,52,2,0,14
1,0,3,4,52,3,0,14
15,0,3,4,52,4,3,14
9,0,3,4,52,5,0,14
3,0,3,4,52,5,1,14
3,0,3,4,52,5,3,14
0,0,9,4,52,1,1,14
187,0,9,4,52,2,0,14
1,0,9,4,52,3,0,14
15,0,9,4,52,4,3,14
9,0,9,4,52,5,0,14
3,0,9,4,52,5,1,14
3,0,9,4,52,5,3,14
0,0,2,4,53,1,1,14
0,0,2,4,53,2,0,14
0,0,2,4,53,3,0,14
0,0,2,4,53,4,3,14
0,0,2,4,53,5,0,14
0,0,2,4,53,5,1,14
0,0,2,4,53,5,3,14
0,0,3,4,53,1,1,14
0,0,3,4,53,2,0,14
0,0,3,4,53,3,0,14
0,0,3,4,53,4,3,14
0,0,3,4,53,5,0,14
0,0,3,4,53,5,1,14
0,0,3,4,53,5,3,14
0,0,9,4,53,1,1,14
0,0,9,4,53,2,0,14
0,0,9,4,53,3,0,14
0,0,9,4,53,4,3,14
0,0,9,4,53,5,0,14
0,0,9,4,53,5,1,14
0,0,9,4,53,5,3,14
0,0,2,4,55,1,1,14
0,0,2,4,55,2,0,14
0,0,2,4,55,3,0,14
0,0,2,4,55,4,3,14
0,0,2,4,55,5,0,14
0,0,2,4,55,5,1,14
0,0,2,4,55,5,3,14
0,0,3,4,55,1,1,14
0,0,3,4,55,2,0,14
0,0,3,4,55,3,0,14
0,0,3,4,55,4,3,14
0,0,3,4,55,5,0,14
0,0,3,4,55,5,1,14
0,0,3,4,55,5,3,14
0,0,9,4,55,1,1,14
0,0,9,4,55,2,0,14
0,0,9,4,55,3,0,14
0,0,9,4,55,4,3,14
0,0,9,4,55,5,0,14
0,0,9,4,55,5,1,14
0,0,9,4,55,5,3,14
0,0,2,4,66,1,1,14
0,0,2,4,66,2,0,14
0,0,2,4,66,3,0,14
0,0,2,4,66,4,3,14
0,0,2,4,66,5,0,14
0,0,2,4,66,5,1,14
0,0,2,4,66,5,3,14
0,0,3,4,66,1,1,14
0,0,3,4,66,2,0,14
0,0,3,4,66,3,0,14
0,0,3,4,66,4,3,14
0,0,3,4,66,5,0,14
0,0,3,4,66,5,1,14
0,0,3,4,66,5,3,14
0,0,9,4,66,1,1,14
0,0,9,4,66,2,0,14
0,0,9,4,66,3,0,14
0,0,9,4,66,4,3,14
0,0,9,4,66,5,0,14
0,0,9,4,66,5,1,14
0,0,9,4,66,5,3,14
0,0,2,4,75,1,1,14
0,0,2,4,75,2,0,14
0,0,2,4,75,3,0,14
0,0,2,4,75,4,3,14
0,0,2,4,75,5,0,14
0,0,2,4,75,5,1,14
0,0,2,4,75,5,3,14
1869,0,3,4,75,1,1,14
1186,0,3,4,75,2,0,14
104,0,3,4,75,3,0,14
1069,0,3,4,75,4,3,14
0,0,3,4,75,5,0,14
0,0,3,4,75,5,1,14
0,0,3,4,75,5,3,14
1869,0,9,4,75,1,1,14
1186,0,9,4,75,2,0,14
104,0,9,4,75,3,0,14
1069,0,9,4,75,4,3,14
0,0,9,4,75,5,0,14
0,0,9,4,75,5,1,14
0,0,9,4,75,5,3,14
142,0,2,5,2,4,3,14
2258,0,3,5,2,4,3,14
1433,0,1,5,2,4,3,14
2798,0,9,5,2,4,3,14
1484,0,2,5,28,4,3,14
5586,0,3,5,28,4,3,14
0,0,1,5,28,4,3,14
5647,0,9,5,28,4,3,14
104,0,2,5,36,4,3,14
1959,0,3,5,36,4,3,14
619,0,1,5,36,4,3,14
2217,0,9,5,36,4,3,14
0,0,2,10,20,1,1,14
0,0,2,10,20,2,0,14
0,0,2,10,20,2,1,14
0,0,2,10,20,4,3,14
0,0,3,10,20,1,1,14
3384,0,3,10,20,2,0,14
3274,0,3,10,20,2,1,14
407,0,3,10,20,4,3,14
0,0,1,10,20,1,1,14
4613,0,1,10,20,2,0,14
4501,0,1,10,20,2,1,14
0,0,1,10,20,4,3,14
0,0,9,10,20,1,1,14
5138,0,9,10,20,2,0,14
5046,0,9,10,20,2,1,14
407,0,9,10,20,4,3,14
0,0,2,10,22,1,1,14
182,0,2,10,22,2,0,14
68,0,2,10,22,2,1,14
0,0,2,10,22,4,3,14
0,0,3,10,22,1,1,14
1407,0,3,10,22,2,0,14
637,0,3,10,22,2,1,14
0,0,3,10,22,4,3,14
0,0,1,10,22,1,1,14
3232,0,1,10,22,2,0,14
1954,0,1,10,22,2,1,14
6976,0,1,10,22,4,3,14
0,0,9,10,22,1,1,14
3570,0,9,10,22,2,0,14
2209,0,9,10,22,2,1,14
6976,0,9,10,22,4,3,14
0,0,2,10,49,1,1,14
0,0,2,10,49,2,0,14
0,0,2,10,49,2,1,14
0,0,2,10,49,4,3,14
0,0,3,10,49,1,1,14
465,0,3,10,49,2,0,14
193,0,3,10,49,2,1,14
0,0,3,10,49,4,3,14
0,0,1,10,49,1,1,14
2695,0,1,10,49,2,0,14
1628,0,1,10,49,2,1,14
0,0,1,10,49,4,3,14
0,0,9,10,49,1,1,14
2813,0,9,10,49,2,0,14
1706,0,9,10,49,2,1,14
0,0,9,10,49,4,3,14
0,0,2,10,74,1,1,14
4269,0,2,10,74,2,0,14
897,0,2,10,74,2,1,14
43,0,2,10,74,4,3,14
0,0,3,10,74,1,1,14
4109,0,3,10,74,2,0,14
808,0,3,10,74,2,1,14
1468,0,3,10,74,4,3,14
0,0,1,10,74,1,1,14
2473,0,1,10,74,2,0,14
282,0,1,10,74,2,1,14
0,0,1,10,74,4,3,14
0,0,9,10,74,1,1,14
5435,0,9,10,74,2,0,14
1594,0,9,10,74,2,1,14
1493,0,9,10,74,4,3,14
0,0,2,12,13,4,3,14
0,0,3,12,13,4,3,14
0,0,1,12,13,4,3,14
0,0,9,12,13,4,3,14
0,0,2,12,25,4,3,14
10,0,3,12,25,4,3,14
1417,0,1,12,25,4,3,14
1424,0,9,12,25,4,3,14
0,0,2,12,32,4,3,14
432,0,3,12,32,4,3,14
0,0,1,12,32,4,3,14
432,0,9,12,32,4,3,14
0,0,2,12,50,4,3,14
175,0,3,12,50,4,3,14
0,0,1,12,50,4,3,14
175,0,9,12,50,4,3,14
0,0,2,12,56,4,3,14
86,0,3,12,56,4,3,14
1341,0,1,12,56,4,3,14
1396,0,9,12,56,4,3,14
0,0,2,12,58,4,3,14
0,0,3,12,58,4,3,14
364,0,1,12,58,4,3,14
364,0,9,12,58,4,3,14
41,0,2,12,59,4,3,14
81,0,3,12,59,4,3,14
163,0,1,12,59,4,3,14
284,0,9,12,59,4,3,14
0,0,2,12,60,4,3,14
0,0,3,12,60,4,3,14
0,0,1,12,60,4,3,14
0,0,9,12,60,4,3,14
0,0,2,13,73,4,3,14
0,0,3,13,73,4,3,14
0,0,1,13,73,4,3,14
0,0,9,13,73,4,3,14
8363,1,7,6,10,3,0,14
8363,1,9,6,10,3,0,14
8423,1,7,6,67,3,2,14
8423,1,9,6,67,3,2,14
5,1,8,7,6,2,0,14
0,1,8,7,6,3,0,14
0,1,8,7,6,4,3,14
0,1,8,7,6,6,4,14
5,1,9,7,6,2,0,14
0,1,9,7,6,3,0,14
0,1,9,7,6,4,3,14
0,1,9,7,6,6,4,14
1521,1,8,7,15,2,0,14
8421,1,8,7,15,3,0,14
48,1,8,7,15,4,3,14
234,1,8,7,15,6,4,14
1521,1,9,7,15,2,0,14
8421,1,9,7,15,3,0,14
48,1,9,7,15,4,3,14
234,1,9,7,15,6,4,14
20,1,8,7,17,2,0,14
8428,1,8,7,17,3,0,14
0,1,8,7,17,4,3,14
0,1,8,7,17,6,4,14
20,1,9,7,17,2,0,14
8428,1,9,7,17,3,0,14
0,1,9,7,17,4,3,14
0,1,9,7,17,6,4,14
147,1,8,7,24,2,0,14
8433,1,8,7,24,3,0,14
3,1,8,7,24,4,3,14
1,1,8,7,24,6,4,14
147,1,9,7,24,2,0,14
8433,1,9,7,24,3,0,14
3,1,9,7,24,4,3,14
1,1,9,7,24,6,4,14
540,1,8,7,29,2,0,14
8431,1,8,7,29,3,0,14
0,1,8,7,29,4,3,14
3,1,8,7,29,6,4,14
540,1,9,7,29,2,0,14
8431,1,9,7,29,3,0,14
0,1,9,7,29,4,3,14
3,1,9,7,29,6,4,14
5,1,8,7,33,2,0,14
