y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
4594,0,C&I core,1,6,3,0,14
0,0,C&I core,1,6,4,3,14
4594,0,Total,1,6,3,0,14
0,0,Total,1,6,4,3,14
0,0,C&D,2,5,4,3,14
0,0,C&I core,2,5,4,3,14
0,0,MSW,2,5,4,3,14
0,0,Total,2,5,4,3,14
6948,0,C&D,2,7,4,3,14
4,0,C&I core,2,7,4,3,14
0,0,MSW,2,7,4,3,14
6949,0,Total,2,7,4,3,14
5457,0,C&D,2,9,4,3,14
1,0,C&I core,2,9,4,3,14
0,0,MSW,2,9,4,3,14
5457,0,Total,2,9,4,3,14
32,0,C&D,2,37,4,3,14
153,0,C&I core,2,37,4,3,14
0,0,MSW,2,37,4,3,14
186,0,Total,2,37,4,3,14
5364,0,C&D,2,45,4,3,14
4,0,C&I core,2,45,4,3,14
0,0,MSW,2,45,4,3,14
5365,0,Total,2,45,4,3,14
6092,0,C&D,2,46,4,3,14
6902,0,C&D,2,46,6,4,14
617,0,C&I core,2,46,4,3,14
0,0,MSW,2,46,4,3,14
6108,0,Total,2,46,4,3,14
6902,0,Total,2,46,6,4,14
531,0,C&D,3,16,4,3,14
3584,0,C&I core,3,16,4,3,14
3101,0,MSW,3,16,4,3,14
4437,0,Total,3,16,4,3,14
0,0,C&D,3,29,4,3,14
6,0,C&I core,3,29,4,3,14
22,0,MSW,3,29,4,3,14
28,0,Total,3,29,4,3,14
0,0,C&D,4,0,1,1,14
0,0,C&D,4,0,2,0,14
0,0,C&D,4,0,3,0,14
0,0,C&D,4,0,4,3,14
0,0,C&D,4,0,5,0,14
0,0,C&D,4,0,5,1,14
0,0,C&D,4,0,5,3,14
0,0,C&I core,4,0,1,1,14
0,0,C&I core,4,0,2,0,14
0,0,C&I core,4,0,3,0,14
0,0,C&I core,4,0,4,3,14
2,0,C&I core,4,0,5,0,14
0,0,C&I core,4,0,5,1,14
3,0,C&I core,4,0,5,3,14
0,0,Total,4,0,1,1,14
0,0,Total,4,0,2,0,14
0,0,Total,4,0,3,0,14
0,0,Total,4,0,4,3,14
2,0,Total,4,0,5,0,14
0,0,Total,4,0,5,1,14
3,0,Total,4,0,5,3,14
0,0,C&D,4,1,1,1,14
0,0,C&D,4,1,2,0,14
0,0,C&D,4,1,3,0,14
0,0,C&D,4,1,4,3,14
0,0,C&D,4,1,5,0,14
0,0,C&D,4,1,5,1,14
0,0,C&D,4,1,5,3,14
0,0,C&I core,4,1,1,1,14
0,0,C&I core,4,1,2,0,14
0,0,C&I core,4,1,3,0,14
0,0,C&I core,4,1,4,3,14
0,0,C&I core,4,1,5,0,14
0,0,C&I core,4,1,5,1,14
0,0,C&I core,4,1,5,3,14
0,0,Total,4,1,1,1,14
0,0,Total,4,1,2,0,14
0,0,Total,4,1,3,0,14
0,0,Total,4,1,4,3,14
0,0,Total,4,1,5,0,14
0,0,Total,4,1,5,1,14
0,0,Total,4,1,5,3,14
0,0,C&D,4,3,1,1,14
3627,0,C&D,4,3,2,0,14
0,0,C&D,4,3,3,0,14
0,0,C&D,4,3,4,3,14
6,0,C&D,4,3,5,0,14
0,0,C&D,4,3,5,1,14
0,0,C&D,4,3,5,3,14
0,0,C&I core,4,3,1,1,14
3373,0,C&I core,4,3,2,0,14
0,0,C&I core,4,3,3,0,14
0,0,C&I core,4,3,4,3,14
5,0,C&I core,4,3,5,0,14
0,0,C&I core,4,3,5,1,14
0,0,C&I core,4,3,5,3,14
0,0,Total,4,3,1,1,14
4548,0,Total,4,3,2,0,14
0,0,Total,4,3,3,0,14
0,0,Total,4,3,4,3,14
11,0,Total,4,3,5,0,14
0,0,Total,4,3,5,1,14
0,0,Total,4,3,5,3,14
0,0,C&D,4,11,1,1,14
0,0,C&D,4,11,2,0,14
0,0,C&D,4,11,3,0,14
0,0,C&D,4,11,4,3,14
0,0,C&D,4,11,5,0,14
0,0,C&D,4,11,5,1,14
0,0,C&D,4,11,5,3,14
