y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
4598,0,C&I core,1,6,3,0,14
0,0,C&I core,1,6,4,3,14
4598,0,Total,1,6,3,0,14
0,0,Total,1,6,4,3,14
0,0,C&D,2,5,4,3,14
0,0,C&I core,2,5,4,3,14
0,0,MSW,2,5,4,3,14
0,0,Total,2,5,4,3,14
6961,0,C&D,2,7,4,3,14
4,0,C&I core,2,7,4,3,14
0,0,MSW,2,7,4,3,14
6962,0,Total,2,7,4,3,14
5465,0,C&D,2,11,4,3,14
1,0,C&I core,2,11,4,3,14
0,0,MSW,2,11,4,3,14
5465,0,Total,2,11,4,3,14
32,0,C&D,2,43,4,3,14
153,0,C&I core,2,43,4,3,14
0,0,MSW,2,43,4,3,14
186,0,Total,2,43,4,3,14
5372,0,C&D,2,57,4,3,14
4,0,C&I core,2,57,4,3,14
0,0,MSW,2,57,4,3,14
5373,0,Total,2,57,4,3,14
6101,0,C&D,2,58,4,3,14
6915,0,C&D,2,58,7,5,14
617,0,C&I core,2,58,4,3,14
0,0,MSW,2,58,4,3,14
6117,0,Total,2,58,4,3,14
6915,0,Total,2,58,7,5,14
531,0,C&D,3,20,4,3,14
3588,0,C&I core,3,20,4,3,14
3104,0,MSW,3,20,4,3,14
4441,0,Total,3,20,4,3,14
0,0,C&D,3,35,4,3,14
6,0,C&I core,3,35,4,3,14
22,0,MSW,3,35,4,3,14
28,0,Total,3,35,4,3,14
0,0,C&D,4,0,1,1,14
0,0,C&D,4,0,2,0,14
0,0,C&D,4,0,3,0,14
0,0,C&D,4,0,4,3,14
0,0,C&D,4,0,5,0,14
0,0,C&D,4,0,5,1,14
0,0,C&D,4,0,5,3,14
0,0,C&I core,4,0,1,1,14
0,0,C&I core,4,0,2,0,14
0,0,C&I core,4,0,3,0,14
0,0,C&I core,4,0,4,3,14
2,0,C&I core,4,0,5,0,14
0,0,C&I core,4,0,5,1,14
3,0,C&I core,4,0,5,3,14
0,0,Total,4,0,1,1,14
0,0,Total,4,0,2,0,14
0,0,Total,4,0,3,0,14
0,0,Total,4,0,4,3,14
2,0,Total,4,0,5,0,14
0,0,Total,4,0,5,1,14
3,0,Total,4,0,5,3,14
0,0,C&D,4,1,1,1,14
0,0,C&D,4,1,2,0,14
0,0,C&D,4,1,3,0,14
0,0,C&D,4,1,4,3,14
0,0,C&D,4,1,5,0,14
0,0,C&D,4,1,5,1,14
0,0,C&D,4,1,5,3,14
0,0,C&I core,4,1,1,1,14
0,0,C&I core,4,1,2,0,14
0,0,C&I core,4,1,3,0,14
0,0,C&I core,4,1,4,3,14
0,0,C&I core,4,1,5,0,14
0,0,C&I core,4,1,5,1,14
0,0,C&I core,4,1,5,3,14
0,0,Total,4,1,1,1,14
0,0,Total,4,1,2,0,14
0,0,Total,4,1,3,0,14
0,0,Total,4,1,4,3,14
0,0,Total,4,1,5,0,14
0,0,Total,4,1,5,1,14
0,0,Total,4,1,5,3,14
0,0,C&D,4,3,1,1,14
3631,0,C&D,4,3,2,0,14
0,0,C&D,4,3,3,0,14
0,0,C&D,4,3,4,3,14
6,0,C&D,4,3,5,0,14
0,0,C&D,4,3,5,1,14
0,0,C&D,4,3,5,3,14
0,0,C&I core,4,3,1,1,14
3377,0,C&I core,4,3,2,0,14
0,0,C&I core,4,3,3,0,14
0,0,C&I core,4,3,4,3,14
5,0,C&I core,4,3,5,0,14
