y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
6317,0,3,1,6,3,0,14
6317,0,9,1,6,3,0,14
6317,0,3,1,65,3,0,14
6317,0,9,1,65,3,0,14
6317,0,3,1,65,3,0,14
6317,0,9,1,65,3,0,14
10860,0,2,2,7,4,3,14
4,0,3,2,7,4,3,14
10861,0,9,2,7,4,3,14
7780,0,2,2,11,4,3,14
1,0,3,2,11,4,3,14
7780,0,9,2,11,4,3,14
32,0,2,2,43,4,3,14
154,0,3,2,43,4,3,14
187,0,9,2,43,4,3,14
7638,0,2,2,57,4,3,14
4,0,3,2,57,4,3,14
7639,0,9,2,57,4,3,14
8941,0,2,2,58,4,3,14
10751,0,2,2,58,7,5,14
630,0,3,2,58,4,3,14
8975,0,9,2,58,4,3,14
10751,0,9,2,58,7,5,14
10065,0,2,2,65,2,0,14
12081,0,2,2,65,4,3,14
10751,0,2,2,65,7,5,14
5390,0,3,2,65,2,0,14
774,0,3,2,65,4,3,14
2208,0,1,2,65,2,0,14
10421,0,9,2,65,2,0,14
12093,0,9,2,65,4,3,14
10751,0,9,2,65,7,5,14
542,0,2,3,20,4,3,14
4625,0,3,3,20,4,3,14
3914,0,1,3,20,4,3,14
6077,0,9,3,20,4,3,14
6,0,3,3,35,4,3,14
22,0,1,3,35,4,3,14
28,0,9,3,35,4,3,14
44,0,2,3,65,2,0,14
542,0,2,3,65,4,3,14
1849,0,3,3,65,2,0,14
4629,0,3,3,65,4,3,14
3026,0,1,3,65,2,0,14
3922,0,1,3,65,4,3,14
3824,0,9,3,65,2,0,14
6079,0,9,3,65,4,3,14
2,0,3,4,0,5,0,14
3,0,3,4,0,5,3,14
2,0,9,4,0,5,0,14
3,0,9,4,0,5,3,14
4688,0,2,4,3,2,0,14
6,0,2,4,3,5,0,14
4307,0,3,4,3,2,0,14
5,0,3,4,3,5,0,14
6244,0,9,4,3,2,0,14
11,0,9,4,3,5,0,14
1,0,3,4,13,2,0,14
93,0,3,4,13,3,0,14
98,0,3,4,13,5,0,14
1,0,9,4,13,2,0,14
93,0,9,4,13,3,0,14
98,0,9,4,13,5,0,14
22,0,2,4,14,2,0,14
3,0,2,4,14,4,3,14
1,0,2,4,14,5,0,14
6,0,2,4,14,5,3,14
9,0,3,4,14,2,0,14
1,0,3,4,14,4,3,14
1,0,3,4,14,5,0,14
2,0,3,4,14,5,3,14
31,0,9,4,14,2,0,14
4,0,9,4,14,4,3,14
2,0,9,4,14,5,0,14
8,0,9,4,14,5,3,14
34,0,3,4,18,2,0,14
2898,0,3,4,18,4,3,14
684,0,3,4,18,5,0,14
684,0,3,4,18,5,3,14
34,0,9,4,18,2,0,14
2898,0,9,4,18,4,3,14
684,0,9,4,18,5,0,14
684,0,9,4,18,5,3,14
2,0,3,4,23,2,0,14
6,0,3,4,23,3,0,14
90,0,3,4,23,4,3,14
2,0,3,4,23,5,0,14
18,0,3,4,23,5,3,14
2,0,9,4,23,2,0,14
6,0,9,4,23,3,0,14
90,0,9,4,23,4,3,14
2,0,9,4,23,5,0,14
18,0,9,4,23,5,3,14
7,0,3,4,31,2,0,14
1,0,3,4,31,3,0,14
844,0,3,4,31,4,3,14
145,0,3,4,31,5,1,14
569,0,3,4,31,5,3,14
7,0,9,4,31,2,0,14
1,0,9,4,31,3,0,14
844,0,9,4,31,4,3,14
145,0,9,4,31,5,1,14
569,0,9,4,31,5,3,14
2,0,3,4,32,2,0,14
1,0,3,4,32,5,0,14
2,0,9,4,32,2,0,14
1,0,9,4,32,5,0,14
4,0,3,4,33,4,3,14
4,0,3,4,33,5,0,14
4,0,9,4,33,4,3,14
4,0,9,4,33,5,0,14
33,0,3,4,37,4,3,14
34,0,3,4,37,5,0,14
33,0,9,4,37,4,3,14
34,0,9,4,37,5,0,14
51,0,3,4,40,2,0,14
15,0,3,4,40,4,3,14
23,0,3,4,40,5,0,14
10,0,3,4,40,5,3,14
51,0,9,4,40,2,0,14
15,0,9,4,40,4,3,14
23,0,9,4,40,5,0,14
10,0,9,4,40,5,3,14
188,0,3,4,41,2,0,14
1,0,3,4,41,3,0,14
15,0,3,4,41,4,3,14
