Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
ACT,Hazardous wastes,Acids (B),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Landfill,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Other disposal,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Recycling,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Treatment,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Treatment,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Landfill,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Other disposal,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Recycling,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Treatment,Disposal,0,2013-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Treatment,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,Alkalis (C),Landfill,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Recycling,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Treatment,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Treatment,Energy recovery,0,2013-12-31,C&D,2
