Jurisdiction,Category,Type,Management,Fate,y,ds,Sub-stream
ACT,Biosolids,Biosolids,Other disposal,Disposal,20186,2021-12-31,3
ACT,Biosolids,Biosolids,Recycling,Recycling,0,2021-12-31,3
ACT,Biosolids,Biosolids,Other disposal,Disposal,20186,2021-12-31,9
ACT,Biosolids,Biosolids,Recycling,Recycling,0,2021-12-31,9
ACT,Building and demolition materials,Asphalt,Recycling,Recycling,0,2021-12-31,2
ACT,Building and demolition materials,Asphalt,Recycling,Recycling,0,2021-12-31,3
ACT,Building and demolition materials,Asphalt,Recycling,Recycling,0,2021-12-31,1
ACT,Building and demolition materials,Asphalt,Recycling,Recycling,0,2021-12-31,9
ACT,Building and demolition materials,"Bricks, concrete and pavers",Recycling,Recycling,141663,2021-12-31,2
ACT,Building and demolition materials,"Bricks, concrete and pavers",Recycling,Recycling,4,2021-12-31,3
ACT,Building and demolition materials,"Bricks, concrete and pavers",Recycling,Recycling,0,2021-12-31,1
ACT,Building and demolition materials,"Bricks, concrete and pavers",Recycling,Recycling,141667,2021-12-31,9
ACT,Building and demolition materials,"Ceramics, tiles and pottery",Recycling,Recycling,36191,2021-12-31,2
ACT,Building and demolition materials,"Ceramics, tiles and pottery",Recycling,Recycling,1,2021-12-31,3
ACT,Building and demolition materials,"Ceramics, tiles and pottery",Recycling,Recycling,0,2021-12-31,1
ACT,Building and demolition materials,"Ceramics, tiles and pottery",Recycling,Recycling,36191,2021-12-31,9
ACT,Building and demolition materials,Plasterboard & cement sheeting,Recycling,Recycling,32,2021-12-31,2
ACT,Building and demolition materials,Plasterboard & cement sheeting,Recycling,Recycling,154,2021-12-31,3
ACT,Building and demolition materials,Plasterboard & cement sheeting,Recycling,Recycling,0,2021-12-31,1
ACT,Building and demolition materials,Plasterboard & cement sheeting,Recycling,Recycling,187,2021-12-31,9
ACT,Building and demolition materials,Rubble,Recycling,Recycling,34086,2021-12-31,2
ACT,Building and demolition materials,Rubble,Recycling,Recycling,4,2021-12-31,3
ACT,Building and demolition materials,Rubble,Recycling,Recycling,0,2021-12-31,1
ACT,Building and demolition materials,Rubble,Recycling,Recycling,34090,2021-12-31,9
ACT,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",Recycling,Recycling,59504,2021-12-31,2
ACT,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",Waste reuse,Waste reuse,133987,2021-12-31,2
ACT,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",Recycling,Recycling,648,2021-12-31,3
ACT,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",Recycling,Recycling,0,2021-12-31,1
ACT,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",Recycling,Recycling,60152,2021-12-31,9
ACT,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",Waste reuse,Waste reuse,133987,2021-12-31,9
ACT,Glass,Glass from food and beverage containers,Recycling,Recycling,551,2021-12-31,2
ACT,Glass,Glass from food and beverage containers,Recycling,Recycling,10293,2021-12-31,3
ACT,Glass,Glass from food and beverage containers,Recycling,Recycling,7512,2021-12-31,1
ACT,Glass,Glass from food and beverage containers,Recycling,Recycling,18355,2021-12-31,9
ACT,Glass,Other glass,Recycling,Recycling,0,2021-12-31,2
ACT,Glass,Other glass,Recycling,Recycling,6,2021-12-31,3
ACT,Glass,Other glass,Recycling,Recycling,22,2021-12-31,1
ACT,Glass,Other glass,Recycling,Recycling,28,2021-12-31,9
ACT,Hazardous wastes,Acids (B),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Acids (B),Landfill,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Acids (B),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Acids (B),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Acids (B),Treatment,Disposal,0,2021-12-31,2
