Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
ACT,Biosolids,Biosolids,Other disposal,Disposal,20186,2021-12-31,C&I core,3
ACT,Biosolids,Biosolids,Other disposal,Disposal,20186,2021-12-31,Total,9
ACT,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",Waste reuse,Waste reuse,133987,2021-12-31,C&D,2
ACT,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",Waste reuse,Waste reuse,133987,2021-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Acids (B),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Landfill,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Treatment,Disposal,2,2021-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Acids (B),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Landfill,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Treatment,Disposal,2,2021-12-31,Total,9
ACT,Hazardous wastes,Acids (B),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Alkalis (C),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Alkalis (C),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Alkalis (C),Landfill,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Alkalis (C),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Alkalis (C),Treatment,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Alkalis (C),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Alkalis (C),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Alkalis (C),Landfill,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Alkalis (C),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Alkalis (C),Treatment,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Alkalis (C),Treatment,Energy recovery,0,2021-12-31,Total,9
