Jurisdiction,Category,Type,Management,Fate,y,ds,Sub-stream
Australia,Mining,Bauxite mining,Landfill,Disposal,5,2021-12-31,8
Australia,Mining,Bauxite mining,Other disposal,Disposal,0,2021-12-31,8
Australia,Mining,Bauxite mining,Recycling,Recycling,0,2021-12-31,8
Australia,Mining,Bauxite mining,Unknown,Unknown,0,2021-12-31,8
Australia,Mining,Bauxite mining,Landfill,Disposal,5,2021-12-31,9
Australia,Mining,Bauxite mining,Other disposal,Disposal,0,2021-12-31,9
Australia,Mining,Bauxite mining,Recycling,Recycling,0,2021-12-31,9
Australia,Mining,Bauxite mining,Unknown,Unknown,0,2021-12-31,9
Australia,Mining,Coal mining,Landfill,Disposal,2001,2021-12-31,8
Australia,Mining,Coal mining,Other disposal,Disposal,24595032,2021-12-31,8
Australia,Mining,Coal mining,Recycling,Recycling,48,2021-12-31,8
Australia,Mining,Coal mining,Unknown,Unknown,235,2021-12-31,8
Australia,Mining,Coal mining,Landfill,Disposal,2001,2021-12-31,9
Australia,Mining,Coal mining,Other disposal,Disposal,24595032,2021-12-31,9
Australia,Mining,Coal mining,Recycling,Recycling,48,2021-12-31,9
Australia,Mining,Coal mining,Unknown,Unknown,235,2021-12-31,9
Australia,Mining,Copper ore mining,Landfill,Disposal,20,2021-12-31,8
Australia,Mining,Copper ore mining,Other disposal,Disposal,68817700,2021-12-31,8
Australia,Mining,Copper ore mining,Recycling,Recycling,0,2021-12-31,8
Australia,Mining,Copper ore mining,Unknown,Unknown,0,2021-12-31,8
Australia,Mining,Copper ore mining,Landfill,Disposal,20,2021-12-31,9
Australia,Mining,Copper ore mining,Other disposal,Disposal,68817700,2021-12-31,9
Australia,Mining,Copper ore mining,Recycling,Recycling,0,2021-12-31,9
Australia,Mining,Copper ore mining,Unknown,Unknown,0,2021-12-31,9
Australia,Mining,Gold ore mining,Landfill,Disposal,147,2021-12-31,8
Australia,Mining,Gold ore mining,Other disposal,Disposal,241956648,2021-12-31,8
Australia,Mining,Gold ore mining,Recycling,Recycling,3,2021-12-31,8
Australia,Mining,Gold ore mining,Unknown,Unknown,1,2021-12-31,8
Australia,Mining,Gold ore mining,Landfill,Disposal,147,2021-12-31,9
Australia,Mining,Gold ore mining,Other disposal,Disposal,241956648,2021-12-31,9
Australia,Mining,Gold ore mining,Recycling,Recycling,3,2021-12-31,9
Australia,Mining,Gold ore mining,Unknown,Unknown,1,2021-12-31,9
Australia,Mining,Iron ore mining,Landfill,Disposal,561,2021-12-31,8
Australia,Mining,Iron ore mining,Other disposal,Disposal,146187373,2021-12-31,8
Australia,Mining,Iron ore mining,Recycling,Recycling,0,2021-12-31,8
Australia,Mining,Iron ore mining,Unknown,Unknown,3,2021-12-31,8
Australia,Mining,Iron ore mining,Landfill,Disposal,561,2021-12-31,9
Australia,Mining,Iron ore mining,Other disposal,Disposal,146187373,2021-12-31,9
Australia,Mining,Iron ore mining,Recycling,Recycling,0,2021-12-31,9
Australia,Mining,Iron ore mining,Unknown,Unknown,3,2021-12-31,9
Australia,Mining,Mineral sand mining,Landfill,Disposal,5,2021-12-31,8
Australia,Mining,Mineral sand mining,Other disposal,Disposal,4418783,2021-12-31,8
Australia,Mining,Mineral sand mining,Recycling,Recycling,0,2021-12-31,8
Australia,Mining,Mineral sand mining,Unknown,Unknown,5350,2021-12-31,8
Australia,Mining,Mineral sand mining,Landfill,Disposal,5,2021-12-31,9
Australia,Mining,Mineral sand mining,Other disposal,Disposal,4418783,2021-12-31,9
Australia,Mining,Mineral sand mining,Recycling,Recycling,0,2021-12-31,9
Australia,Mining,Mineral sand mining,Unknown,Unknown,5350,2021-12-31,9
Australia,Mining,Nickel ore mining,Landfill,Disposal,61,2021-12-31,8
Australia,Mining,Nickel ore mining,Other disposal,Disposal,30191357,2021-12-31,8
Australia,Mining,Nickel ore mining,Recycling,Recycling,0,2021-12-31,8
Australia,Mining,Nickel ore mining,Unknown,Unknown,962,2021-12-31,8
Australia,Mining,Nickel ore mining,Landfill,Disposal,61,2021-12-31,9
Australia,Mining,Nickel ore mining,Other disposal,Disposal,30191357,2021-12-31,9
Australia,Mining,Nickel ore mining,Recycling,Recycling,0,2021-12-31,9
Australia,Mining,Nickel ore mining,Unknown,Unknown,962,2021-12-31,9
Australia,Mining,Oil and gas extraction,Landfill,Disposal,24,2021-12-31,8
Australia,Mining,Oil and gas extraction,Other disposal,Disposal,2613174,2021-12-31,8
Australia,Mining,Oil and gas extraction,Recycling,Recycling,3246,2021-12-31,8
Australia,Mining,Oil and gas extraction,Unknown,Unknown,86,2021-12-31,8
Australia,Mining,Oil and gas extraction,Landfill,Disposal,24,2021-12-31,9
