Jurisdiction,Category,Type,Total type,Management,Fate,y,ds,Sub-stream
ACT,Biosolids,,Biosolids total,Other disposal,Disposal,20186,2021-12-31,03 C&I core
ACT,Biosolids,,Biosolids total,Recycling,Recycling,0,2021-12-31,03 C&I core
ACT,Biosolids,,Biosolids total,Other disposal,Disposal,20186,2021-12-31,09 Total
ACT,Biosolids,,Biosolids total,Recycling,Recycling,0,2021-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2021-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,10578,2021-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2021-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,3,2021-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,7,2021-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2021-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,6,2021-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,2801,2021-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,10739,2021-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,204,2021-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,6806,2021-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,889,2021-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,149,2021-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,1327,2021-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,2801,2021-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,21317,2021-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,204,2021-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,6810,2021-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,896,2021-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,149,2021-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,1333,2021-12-31,09 Total
ACT,Mining,,Mining waste total,Landfill,Disposal,0,2021-12-31,08 C&I (mining)
ACT,Mining,,Mining waste total,Other disposal,Disposal,0,2021-12-31,08 C&I (mining)
ACT,Mining,,Mining waste total,Recycling,Recycling,0,2021-12-31,08 C&I (mining)
ACT,Mining,,Mining waste total,Unknown,Unknown,0,2021-12-31,08 C&I (mining)
ACT,Mining,,Mining waste total,Landfill,Disposal,0,2021-12-31,09 Total
ACT,Mining,,Mining waste total,Other disposal,Disposal,0,2021-12-31,09 Total
ACT,Mining,,Mining waste total,Recycling,Recycling,0,2021-12-31,09 Total
ACT,Mining,,Mining waste total,Unknown,Unknown,0,2021-12-31,09 Total
ACT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,02 C&D
ACT,Total,,All other waste total,Landfill,Disposal,117782,2021-12-31,02 C&D
ACT,Total,,All other waste total,Landfill,Energy recovery,1659,2021-12-31,02 C&D
ACT,Total,,All other waste total,Recycling,Recycling,274938,2021-12-31,02 C&D
ACT,Total,,All other waste total,Waste reuse,Waste reuse,133987,2021-12-31,02 C&D
ACT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,03 C&I core
ACT,Total,,All other waste total,Landfill,Disposal,78559,2021-12-31,03 C&I core
ACT,Total,,All other waste total,Landfill,Energy recovery,17601,2021-12-31,03 C&I core
ACT,Total,,All other waste total,Recycling,Recycling,73688,2021-12-31,03 C&I core
ACT,Total,,All other waste total,Waste reuse,Waste reuse,8945,2021-12-31,03 C&I core
ACT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,01 MSW
ACT,Total,,All other waste total,Landfill,Disposal,85837,2021-12-31,01 MSW
ACT,Total,,All other waste total,Landfill,Energy recovery,31098,2021-12-31,01 MSW
ACT,Total,,All other waste total,Recycling,Recycling,166532,2021-12-31,01 MSW
ACT,Total,,All other waste total,Waste reuse,Waste reuse,6863,2021-12-31,01 MSW
ACT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2021-12-31,09 Total
ACT,Total,,All other waste total,Landfill,Disposal,282178,2021-12-31,09 Total
ACT,Total,,All other waste total,Landfill,Energy recovery,50358,2021-12-31,09 Total
ACT,Total,,All other waste total,Recycling,Recycling,515159,2021-12-31,09 Total
ACT,Total,,All other waste total,Waste reuse,Waste reuse,149796,2021-12-31,09 Total
Australia,Mineral processing,,Mineral processing waste total,Other disposal,Disposal,2385750,2021-12-31,07 C&I (mineral processing)
Australia,Mineral processing,,Mineral processing waste total,Other disposal,Long-term storage,26848370,2021-12-31,07 C&I (mineral processing)
Australia,Mineral processing,,Mineral processing waste total,Other disposal,Disposal,2385750,2021-12-31,09 Total
Australia,Mineral processing,,Mineral processing waste total,Other disposal,Long-term storage,26848370,2021-12-31,09 Total
Australia,Mining,,Mining waste total,Landfill,Disposal,2861,2021-12-31,08 C&I (mining)
Australia,Mining,,Mining waste total,Other disposal,Disposal,619660477,2021-12-31,08 C&I (mining)
Australia,Mining,,Mining waste total,Recycling,Recycling,3936,2021-12-31,08 C&I (mining)
Australia,Mining,,Mining waste total,Unknown,Unknown,9147,2021-12-31,08 C&I (mining)
Australia,Mining,,Mining waste total,Landfill,Disposal,2861,2021-12-31,09 Total
Australia,Mining,,Mining waste total,Other disposal,Disposal,619660477,2021-12-31,09 Total
Australia,Mining,,Mining waste total,Recycling,Recycling,3936,2021-12-31,09 Total
Australia,Mining,,Mining waste total,Unknown,Unknown,9147,2021-12-31,09 Total
Australia,Organic primary production,,Organic primary production waste total,Recycling,Recycling,1932829,2021-12-31,05 C&I (organic primary production)
